application_id: 1	name: MCS_distance_20.0_sigmaloc1_10.0_sigmaloc2_10.0_sigmasigmaloc1_2.0_sigmasigmaloc2_2.0_frames_10_numberofspots_1000_sample-heterogeneity_0_repeat_1.txt	filepath: /Volumes/blank	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x(nm)	y(nm)	intensity	background	width	a	theta	sigma	int_ratio	alt_sigma	intensity_aperture	background_aperture
110	10	1	1	6	1	1	12501.0896884	12508.3050823	1	1	1	1	1	12.5918282391	1	1	1	1
111	1	1	2	6	1	1	12513.9714183	12500.3517873	1	1	1	1	1	7.95304161886	1	1	1	1
112	2	1	2	6	1	1	12501.9319188	12509.6854375	1	1	1	1	1	10.3055008539	1	1	1	1
113	3	1	2	6	1	1	12531.15932	12533.6609002	1	1	1	1	1	14.2006504406	1	1	1	1
114	4	1	2	6	1	1	12540.1483764	12511.4815943	1	1	1	1	1	10.9324423489	1	1	1	1
115	5	1	2	6	1	1	12503.3863964	12492.9894214	1	1	1	1	1	11.9139361173	1	1	1	1
116	6	1	2	6	1	1	12525.6039235	12509.7195313	1	1	1	1	1	10.9147024413	1	1	1	1
117	7	1	2	6	1	1	12508.470322	12508.3331005	1	1	1	1	1	8.66730851958	1	1	1	1
118	8	1	2	6	1	1	12512.9052586	12507.2954757	1	1	1	1	1	9.76253205032	1	1	1	1
119	9	1	2	6	1	1	12530.6221639	12504.6394704	1	1	1	1	1	14.9677263416	1	1	1	1
120	10	1	2	6	1	1	12513.9333401	12502.6614506	1	1	1	1	1	10.8802541148	1	1	1	1
121	1	1	1	7	1	1	12506.4770438	12497.5715155	1	1	1	1	1	7.81887566468	1	1	1	1
122	2	1	1	7	1	1	12509.9767149	12488.5132987	1	1	1	1	1	7.48128333095	1	1	1	1
